name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Manoj Bhojnalya,Shahdara,North Indian,0.0,200,0,New Delhi,kaggle,Budget (≤₹300),North Indian
Butter Chicken Company,Greater Kailash 1 (Gk1),"North Indian, Biryani, Mughlai",4.5,500,56,New Delhi,kaggle,Mid (₹300-700),North Indian
Big Bhature,Sector 22,"Street Food, North Indian",4.3,200,35,Noida,kaggle,Budget (≤₹300),Street Food
Big Wong XL,Cross Point Mall,"Chinese, Thai, Sushi, PokÃ©, Asian",4.2,1500,419,Gurgaon,kaggle,Premium (₹700-1500),Chinese
The Mask Cafe & Lounge,Crossing Republik,"Cafe, Chinese, North Indian, Italian",3.8,600,65,Ghaziabad,kaggle,Mid (₹300-700),Cafe
Indian Wok,Dlf Galleria,"Chinese, Thai, Momos",4.0,500,729,Gurgaon,kaggle,Mid (₹300-700),Chinese
Sankalp,Pitampura,"South Indian, North Indian",4.0,700,1097,New Delhi,kaggle,Mid (₹300-700),South Indian
Nirula's,Punjabi Bagh,"Fast Food, Ice Cream, Desserts",4.0,600,22,New Delhi,kaggle,Mid (₹300-700),Fast Food
Xero Degrees,Vijay Nagar,"Cafe, Fast Food",4.9,750,182,New Delhi,kaggle,Premium (₹700-1500),Cafe
Q'BA,Connaught Place,"North Indian, Italian, Chinese, Continental, Thai",4.3,2000,396,New Delhi,kaggle,Luxury (>₹1500),North Indian
Comorin,Two Horizon Center,"North Indian, South Indian, Seafood, Cafe",4.5,2500,415,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Barcode,Sector 9,"North Indian, Chinese, Italian, Continental",4.2,1100,848,New Delhi,kaggle,Premium (₹700-1500),North Indian
Tossin Pizza,Greater Kailash 2 (Gk2),"Pizza, Italian, Fast Food",4.8,900,252,New Delhi,kaggle,Premium (₹700-1500),Pizza
Blue Tokai Coffee Roasters,Safdarjung,"Cafe, Coffee",4.0,900,77,New Delhi,kaggle,Premium (₹700-1500),Cafe
Karim's,Pitampura,"Mughlai, North Indian, Kebab, Rolls",4.0,800,423,New Delhi,kaggle,Premium (₹700-1500),Mughlai
